Unnamed: 0.1,resturant_name,customer_name,customer_reviews_number,customer_reviews_date,comments,number_number_of_star
0,Soso & Sans,Maor S.,3.0,01/05/2022,Took a hamburger with half an hour to arrive and worked very slowly in general and did not have many customers,3.0
1,Soso & Sans,igor p.,2.0,18/03/2022,Expensive and very greasy and stingy,2.0
2,Soso & Sans,Yarin J.,1.0,20/02/2022,Better hospital rolls,3.0
3,Soso & Sans,Sharon R.,2.0,29/03/2021,"The dishes are cool and delicious in a different way! The place is a bit unclear, just like the space of a small sports hall ... Come and eat, in short",4.0
4,Soso & Sans,Sergei P.,26.0,22/07/2021,"High price for something mediocre overall. The mashed potatoes were good and the patty fine too, but not for the price they ask",2.0
5,Soso & Sans,Daniel V.,1.0,29/10/2018,"I was sitting a few days ago at the Soso & Sans branch in Rishon Lezion. Must say I really enjoyed it, the food came really really fast, hot and the meat very high quality. The staff were lovely and helped me choose a dish that suited me. I took a burger with toppings on top and mashed potatoes as a side dish. The food was very tasty: both the hamburger and the side dish and exceeded my expectations much more than the hamburger restaurants I ate at in the past .. It is important to say that the atmosphere was really good, the music working and the appearance of the place was clean and tidy. Highly recommend, I will definitely be back again.",5.0
6,Soso & Sans,LED K.,10.0,30/04/2021,We were 4. I ordered a double with a regular eye egg. I got the opposite. The meatballs of us all were dry. One had a piece of non-chewable rubber. My bun was tired. The vegan burger was a pile of pieces that fell apart and fell off the bun. The chips were the only bright spot - delicious and hot. The chips were sold separately at a price of 16 NIS per unit. The trigger in front of the order counter was sticky and the shoes stuck to the soles of the shoes. The toilets were filthy! Puddles of urine and no toilet paper. Crazy price and the value is simple on the face! So disappointing. My first and last time at the place.,1.0
7,Soso & Sans,Shay W.,1.0,08/11/2018,"Just a pleasure !!! A really high level burger ... not to mention the quality staff, who really cared all the time and wanted to make sure everything was as it should be. Everything arrived quickly and exactly as we ordered, and it was just fun to sit in the place I will definitely return to this branch many more times, with such a service it is a crime not to write a review! Thank you horse",5.0
8,Soso & Sans,Sharon approx.,2.0,26/09/2021,"The place was really dirty, could not sit at all. We went without ordering at all!",2.0
9,Soso & Sans,Tel.,1.0,30/11/2021,Walla was fun,4.0
10,Soso & Sans,Shlomo M.,1.0,30/03/2019,So that's how it is with dear Israel. My name is Mulalin Mengistu must say that the adult is so sick and pale and people are not ashamed to call themselves one team one there sick because the adult in short the adult is similar to the science teacher in Zipper compared to the branch in Tel Aviv that the adult at Gal Gadot and Bar Refaeli depends on what you ordered,5.0
11,Soso & Sans,Daniel Z.,1.0,22/10/2020,"I booked an invitation for two people at 7:20 p.m. It is already 21:00, none of the representatives on his horse know where the messenger is. Did not announce that there was a delay in shipments, just insolence. The message listed delivery between 40-60 minutes. I have been waiting for over an hour and a half for food and nothing is happening. I talked to a salesman from the branch, the only thing he ""pinked"" me was free chips. It just sucks service and very not fun! I have ordered full times from his horse and this is the most disappointing time there is!",1.0
12,Soso & Sans,Noam b.,3.0,28/05/2021,Their food is very tasty and comes quickly,4.0
13,Soso & Sans,dor 1.,1.0,18/01/2020,"Invitation attached to the photo. Another burger as if different but actually just like everyone else. The food came cold as ice all the fries wet and glued to each other. The ""monster"" is 3 small, dry and cold compressed patties that on a sunny day can be played with a frisbee in the park. There are much better and more affordable burgers in the area. We finished eating hungry ...",1.0
14,Soso & Sans,Veksler N.,1.0,06/11/2018,I usually do not give reviews but I had to respond I was recommended to come to the place by the family and I must say that the atmosphere is amazing in terms of staff and the food is great! You have acquired new regular customers who aspire,5.0
15,Soso & Sans,Nadav S.,2.0,16/09/2019,Very tasty! The place is in the form of a buffet (open under the shade) without air conditioning so not the most comfortable in hot times! Despite this the service is excellent and the food is excellent! It is recommended to arrive at business time and definitely equal prices !!,5.0
16,Soso & Sans,It's Iraq.,4.0,07/03/2021,"Delicious! corruption! Since there are no options to take a salad or some vegetables, which is a bit burdensome .. but we will return there ..",5.0
17,Soso & Sans,Liron S.,1.0,24/09/2021,"Nice staff, pleasant people, reasonable waiting time and excellent food 🍔🍟",5.0
18,Soso & Sans,Daniel a.,2.0,15/09/2018,Cat-flavored meat in other words go eat at McDonalds you enjoy more and more in addition to the peak of their impudence 94 NIS. Because a burger restaurant they could dream of being in one word: Baaaaaa,1.0
19,Soso & Sans,Marom K.,2.0,05/10/2020,Was missing things in the invitation for the second time,3.0
20,Soso & Sans,Lior Fr.,3.0,06/04/2019,"I was on a Friday afternoon, the meat was insanely delicious along with a brioche bun and to finish the sweet potato chips. It's definitely a good place to eat meatballs",5.0
21,Soso & Sans,Lee A.,3.0,28/08/2021,We got to the kids' request to eat at the branch. The first branch is dirty. The tables and floor are sticky. Everything seems neglected and uninviting. We invited the kids because they wanted to ... I gave up. Ugh,1.0
22,Soso & Sans,Yamit B.,1.0,13/06/2020,"Bad experience. The bun seemed to come out of the freezer, a burger to the extent we did not do as we asked and beyond that dry without sauces ..",2.0
23,Soso & Sans,Nitzan A.,1.0,06/12/2018,Excellent service and even more excellent burgers including varied toppings. Made abroad feel like we're at Shake Shack in New York. Recommended !!,5.0
24,Soso & Sans,'Ron M.,1.0,29/10/2018,In one word - a show! The atmosphere and service staff .. I ordered a double hamburger with toppings came out in 2 hot minutes and enjoyed every bite thank you,5.0
25,Soso & Sans,lihi s.,1.0,06/02/2019,"Was really a spin, relatively empty, the adult relatively tasty but expensive",3.0
26,Soso & Sans,Moore d.,1.0,27/11/2019,Bad experience! The place is dirty with suffocating and with a horrible smell. The toilets were filthy and the food was really not good. The chips had a Louis flavor and the lettuce that was in the bun was on the verge of decay. Just a disappointment !!!!,1.0
27,Soso & Sans,Danielle M.,1.0,27/07/2021,"Price fits every pocket, the food is perfect!",5.0
28,Soso & Sans,Roni M.,1.0,15/05/2021,I have ordered several times and I am satisfied every time again!,5.0
29,Soso & Sans,Ido S.,3.0,14/02/2020,Nice,3.0
30,Soso & Sans,Lian J..,1.0,18/12/2019,"The delivery arrived without the added lamb bacon I asked for inside the burger, and instead of Coke Zero they brought me a regular Coke and from the second burger the egg was completely ripe and not live. Horror",1.0
31,Soso & Sans,Ranine K.,1.0,28/09/2020,"Expensive price for two burgers and fries ... I paid for NIS 20 for fries, I got some fries, not worth the price ... I will not order again from there ...",1.0
32,Soso & Sans,Violetta K.,2.0,27/12/2020,"In one word-perfect. The service, the quality, the speed of delivery..everything",5.0
33,Soso & Sans,Kirill K.,1.0,03/01/2020,Hamburger and toppings are great! Even when it comes in delivery comes well packaged and quality we enjoyed very much!,5.0
34,Soso & Sans,Elad N.,2.0,13/04/2020,Perfect I really like this excellent hamburger restaurant always comes graceful and delicious,5.0
35,Soso & Sans,Ili m.,1.0,28/09/2020,Madness Convenient fast deliveries arrive hot and dead on you️️,5.0
36,Soso & Sans,Anna S.,1.0,29/10/2018,"I really enjoyed !!! Delicious and special food, fast and professional service. Pleasant and fun atmosphere. Highly recommend",5.0
37,Soso & Sans,Tal A.,1.0,28/05/2019,Very tasty but a relatively small dish compared to the price,4.0
38,Soso & Sans,Dear s.,2.0,02/07/2019,The service and toppings are amazing and the patty is less,4.0
39,Soso & Sans,Talia M.,2.0,08/02/2021,Very tasty and arrived really fast and recommended!,5.0
40,Soso & Sans,Eli G.,2.0,01/01/2020,"Delicious, I started the year 2020 on his horse, and it was delicious and pampering!",5.0
41,Soso & Sans,Sarit S.,4.0,10/11/2019,"Was excellent, food delicious, excellent service ... very very much enjoyed",5.0
42,Soso & Sans,noam n.,2.0,26/12/2019,OK,3.0
43,Soso & Sans,Einav m.,1.0,29/10/2018,Courteous and fun service and delicious food! Glad you arrived at the first successful branch,5.0
44,Soso & Sans,Tzach H.,5.0,27/11/2020,It was rare!,5.0
45,Soso & Sans,Liran S.,3.0,29/10/2018,The burger is just perfect! And the service at the branch is just a pleasure !! 😍,5.0
46,Soso & Sans,Tomas P.,1.0,29/10/2018,Great branch and great staff! The food is delicious and the atmosphere is good,5.0
47,Soso & Sans,Meir B.,2.0,31/08/2019,"Very nice, great value for money!",5.0
48,Soso & Sans,Kim T.,1.0,08/09/2019,🤤🤤🤤👌🏽👌🏽👌🏽,5.0
49,Soso & Sans,Asaf M.,1.0,12/03/2020,tasty,5.0
50,Soso & Sans,Lucy t,3.0,20/02/2019,Dead on their burgers!,5.0
51,Soso & Sans,Arik B.,4.0,11/07/2019,Shhhh,5.0
52,Soso & Sans,Shelly K.,3.0,18/03/2021,"I ordered delivery, arrived very bland mostly and also cold, barely put a crumb of tomato and lettuce, I was very disappointed.",1.0
53,Soso & Sans,Sharon b.,1.0,29/07/2018,"Much less good than the Tel Aviv branch, it takes a long time for the food to arrive, the egg salad is sour and the atmosphere sucks and there are shocking songs",2.0
54,Soso & Sans,Arthur Rotenberg,,14/01/2020,The failure in Rishon Lezion of the Instagram star,
55,Brothers Local Burger,Kobe b.,2.0,05/09/2020,"Half power. Kids can have fun here. Anyone looking to enjoy a meal as opposed to a ""knock"" burger, this is really not the place. Like McDonalds, only the patty is tastier. To my taste barely enough. When I was 20 it could have been a spin.",3.0
56,Brothers Local Burger,Yuval B.,4.0,04/06/2020,I was so much that I can no longer count (sitting in a restaurant and deliveries) and even. I was never disappointed. Excellent and professional service. The burger is excellent and I like to take the fries half-and-half (potatoes and sweet potatoes). Highly recommended!,5.0
57,Brothers Local Burger,Ran L.,1.0,28/11/2021,"We wanted a vegan burger close by. There was only one type of three on the menu. Was reasonable. This is a fast food restaurant for everything, I did not know and was a little surprised",3.0
58,Brothers Local Burger,Liron A.,4.0,30/09/2020,"I called to order for the first time .... I like to talk to a person and not place an order on a computer or app. A nice guy answered me and started taking the details. I had already chosen the 300 gram brother burger meal with a drink and a regular French fries, no more than that, at a cost of NIS 70. A guy on the phone tells me that it is not possible to order, there is a minimum order of 90 shekels and what else do I want to order to reach 90 shekels. Just insolence what is this minimum order of 90 shekels I told him no thank you it was just stolen",1.0
59,Brothers Local Burger,Tomer B.,4.0,23/10/2021,The burger is expensive in my opinion compared to what you get. tasty. But not so much that I will come there again ... it is worth ordering sweet potato chips for an additional 3 NIS together with the regular chips for one reason. It really fills the stomach and causes satiety.,4.0
60,Brothers Local Burger,Merav T.,2.0,25/08/2020,"We ordered 2 burgers with fries and a drink. Arrived fast, was really tasty. The packaging is really convenient. I will definitely order again. The only improvement is that I would add options of toppings that are not chips. For example, sauteed green beans :)",4.0
61,Brothers Local Burger,Happiness.,3.0,15/01/2022,Service 10/10 The hamburger is delicious The ratio 10/10 A bomb place really is the best place I have ever been to 🍔🍔🍔,5.0
62,Brothers Local Burger,Nisim M.,15.0,27/09/2019,"Just excellent lifting the highest hamburger I have ever eaten !!! High quality, very clean, the price is a bit expensive and the employees are inexperienced in preparing excellent food!",5.0
63,Brothers Local Burger,Udi B.,3.0,10/10/2021,My first time I really liked the degree of making and the meat and cool service lacking creative sauces,4.0
64,Brothers Local Burger,Is outside 4800,1.0,07/02/2022,A medium minus burger is better to go for a burger or something,3.0
65,Brothers Local Burger,share m.,5.0,03/11/2020,"TA service friendly and delicious food, recommends a medium for meat lovers, we had three men and enjoyed the meal",5.0
66,Brothers Local Burger,Rya W.,1.0,23/10/2021,Disgust of a place !!! I received cold food .. probably prepared it from the morning and just heated it to send it .. French fries are also cold and full of oil..free cheese .. and when I tried to contact the landlord through the courier because they did not answer .. spoke rudely .. refuses to return money That day .. charge me for the lotus I ordered .. in addition to shouting .. shortcut does not recommend a pity for every shekel .. repulsive place,1.0
67,Brothers Local Burger,Etty a.,1.0,23/04/2021,"The patty was dry. Was lacking in pickles. ""We did not fall"" for the sake of taste",3.0
68,Brothers Local Burger,What is it.,5.0,01/06/2021,"Very poor service !!! I called the restaurant the owner answered me !!! I told him I was interested in a hamburger tax for a party he was very short in conversation I was not interested when I shared him the suggestions I got just told me a good day and hung up !! I was shocked! This is how a landlord behaves,? Not everything is money, a little human relations !! Which I'm sure I'll never order from you",1.0
69,Brothers Local Burger,Guy e.,1.0,09/09/2020,The end of the road I came from the camps especially to eat the big brother! 300 grams before must stop there to taste!,5.0
70,Brothers Local Burger,Evgeny,91.0,26/12/2020,The burger is very tasty. The patty is well made and to a precise degree and the bun is sweet and delicious,4.0
71,Brothers Local Burger,Naama E.,2.0,20/06/2019,"A charming and modest place, not expensive food at all and of excellent quality - a pleasure to eat! The staff provided courteous service and the owner of the place in particular is recommended !!!",5.0
72,Brothers Local Burger,mueller s.,1.0,13/11/2020,It takes them full time to prepare and wait 15 minutes for 2 servings,3.0
73,Brothers Local Burger,Roshdy S.,1.0,24/08/2019,I ordered a meal with a hamburger that just arrived empty only a patty inside the lime shelter without tomatoes without sauces I also ordered a personal salad send a glass of salad that does not respect even a falafel stand I talked to the restaurant answered a guy who had just say I'm sorry I'm overload just disgusting at the moment !!!!,1.0
74,Brothers Local Burger,Kidest Z.,1.0,10/11/2020,I ordered a 300g big brother burger it was one of the most disgusting burgers I have ever eaten. The meat that came on me was still uncooked toppings that you barely put it on even though I paid for it.,1.0
75,Brothers Local Burger,ori G.,1.0,23/08/2021,Excellent delicious food and insanely the most delicious in the city !!!!!!,5.0
76,Brothers Local Burger,Father E.,1.0,08/06/2020,Great burger! Clean and beautiful place and the service makes you want to come back again !! Great place highly recommend🦄😘,5.0
77,Brothers Local Burger,Psycho G.,1.0,11/10/2019,Really delicious food! Really good prices for the quality of the food. Wait a little while. And the food is big and delicious. Fast and professional staff.,5.0
78,Brothers Local Burger,Ron p.,2.0,22/12/2018,"Beautiful place, food a little less. We ate a crispy schnitzel that was not successful at all ... and the burger gets a failing grade. Need to go through and learn a lot more, we ate in much much better places. Too bad",1.0
79,Brothers Local Burger,Tamir Z.,5.0,12/10/2019,"A nice meal that includes a hamburger in a bun, French fries and cola. Delicious, thinly sliced ​​French fries.",4.0
80,Brothers Local Burger,Ben S.,1.0,21/01/2020,"A kind of fast food a bit daunting at first when it arrived, the food was excellent and the staff mattered 😋",4.0
81,Brothers Local Burger,I s.,1.0,31/12/2018,"Cool place, the food is excellent and at a very high level - I have eaten there several times already - everything is fresh, pleasing to the eye and fun in the mouth. highly recommend",5.0
82,Brothers Local Burger,Lior B.,1.0,09/07/2021,It was nice,3.0
83,Brothers Local Burger,Bosmat R.,2.0,18/01/2020,"Was nice, delicious burger - price a bit high but overall - fine experience.",4.0
84,Brothers Local Burger,Sapir Y.,3.0,12/06/2020,awful!!!!!! bad service! The burger came home frozen as if it was not on the fire at all! not recommended!!!!,1.0
85,Brothers Local Burger,Pierre B.,3.0,30/08/2021,"Courteous service and good food, highly recommend",5.0
86,Brothers Local Burger,Claudia F,4.0,10/01/2021,It was very pleasant to order from them very tasty food and fast delivery,5.0
87,Brothers Local Burger,Nati G.,1.0,03/02/2020,"Cute place. Great service. The food is excellent hahaha, one of the tastiest burgers I have eaten !!",5.0
88,Brothers Local Burger,Benny K.,1.0,08/12/2019,"The most worthwhile place in the city !!! Highly recommend ... excellent food, courteous service ... a must !!!",5.0
89,Brothers Local Burger,such m.,1.0,05/10/2019,"It was very tasty, the boy's hamburger fell off and they immediately brought him a new one, without asking questions.",5.0
90,Brothers Local Burger,Guy c.,1.0,27/11/2018,Cute clean place. Hamburger and fries and delicious. Service with a smile. We will definitely be back here,5.0
91,Brothers Local Burger,Shay B.,8.0,04/06/2020,Stunning .. I order deliveries and it's stunning !!!!!!!,5.0
92,Brothers Local Burger,Anat S.,1.0,25/06/2021,Excellent,5.0
93,Brothers Local Burger,Ben G.,1.0,02/06/2020,"Hamburger on a level, excellent service and highly recommended",5.0
94,Brothers Local Burger,Ronnie F.,8.0,18/03/2020,Great service and quality of food and every word is unnecessary ️🥁,5.0
95,Brothers Local Burger,Ziv G.,3.0,12/07/2021,Delicious,4.0
96,Brothers Local Burger,Itamar B.,1.0,18/01/2021,Hamburger Wet bun disassembled French fries Very bad The meat was not fresh and shocking,1.0
97,Brothers Local Burger,Shiraz M.,1.0,24/09/2020,"Service, delicious food 10👍🏼👍🏼👍🏼",4.0
98,Brothers Local Burger,Horizon m.,2.0,14/05/2019,"Good service, fast delivery The food was nice but no more than that",4.0
99,Brothers Local Burger,Toby c.,3.0,16/10/2020,"Delicious, fun, on time. Well done 😍",5.0
100,Brothers Local Burger,Use s.,5.0,03/11/2020,Very very tasty and a lovely messenger,5.0
101,Brothers Local Burger,Shelter.,9.0,24/03/2020,"Great place, excellent burger, great service :)",5.0
102,Brothers Local Burger,oksana s.,1.0,10/05/2020,Great service. The burger was very tasty.,5.0
103,Brothers Local Burger,Helen J.,1.0,08/11/2020,"The bun fell apart, the chips were frozen, I asked for sauces there was not a single sauce inside.",1.0
104,Brothers Local Burger,Rival b.,1.0,14/04/2019,Hamburger I would shrug my fingers and an amazing service highly recommend,4.0
105,Brothers Local Burger,Nadeem T.,1.0,19/01/2020,I ordered 3 burgers they arrived after an hour and were very creamy,1.0
106,Brothers Local Burger,Tal C.,4.0,15/11/2020,Every bite is a pleasure !!!!!!!!,5.0
107,Brothers Local Burger,Nofar m.,3.0,19/10/2019,"Delicious and encouraging, inexpensive prices and excellent service !!!",5.0
108,Brothers Local Burger,Yaniv H.,1.0,11/01/2020,Really tasty and the delivery arrived quickly,4.0
109,Brothers Local Burger,Ira c.,9.0,20/10/2018,The vegetables are also fresh rolls. The meat is excellent. We will definitely be back. Great service,5.0
110,Brothers Local Burger,Tomer and.,3.0,08/12/2018,"Great burgers, family service. A winning chicken salad. Highly recommended",5.0
111,Brothers Local Burger,Bethel R.,3.0,14/03/2019,tasty!!!! Everything is fresh and high quality !! neat and tidy !! We really loved it !!,5.0
112,Brothers Local Burger,Judah c.,2.0,01/04/2020,Fast service The food is fresh and hot. In order to!!!,5.0
113,Brothers Local Burger,Lisa H.,1.0,23/09/2019,The food is delicious and of a high standard! The service is excellent.,5.0
114,Brothers Local Burger,Jonathan P.,1.0,26/11/2019,Nice people but the burger is not tasty,1.0
115,Brothers Local Burger,Rona T.,2.0,20/03/2019,Great place. kind service. Coming fast. Family place,5.0
116,Brothers Local Burger,vardit and.,5.0,13/02/2020,recommended. Delicious with excellent service!,5.0
117,Brothers Local Burger,Moshe L.,1.0,11/10/2018,Amazing veal sausage ...... must taste,5.0
118,Brothers Local Burger,Tamér N.,1.0,09/12/2019,High quality and very tasty,5.0
119,Brothers Local Burger,Orel K.,1.0,10/09/2020,tasty,4.0
120,Brothers Local Burger,Ravid T.,1.0,03/11/2019,Poor impatient phone service,1.0
121,Brothers Local Burger,ZOHAR B.,5.0,17/11/2019,😁,4.0
122,Brothers Local Burger,They were a,7.0,02/11/2019,"Very tasty, and inexpensive",5.0
123,Brothers Local Burger,Nati b.,7.0,20/09/2019,Always delicious here !!!,5.0
124,Brothers Local Burger,Shahar c.,1.0,06/01/2020,Really delicious,5.0
125,Brothers Local Burger,Born B.,6.0,04/07/2019,The best in town !!!,5.0
126,Brothers Local Burger,he said _.,3.0,26/01/2019,Poor service We came first and got last not pretty We waited full time for delicious food but,2.0
127,Brothers Local Burger,israel and.,3.0,07/07/2019,Was really great.,5.0
128,Brothers Local Burger,Ili S.,1.0,15/04/2019,An industrial and processed hamburger is not tasty,1.0
129,Brothers Local Burger,Eran B.,1.0,05/07/2019,A perfect burger!,5.0
130,Brothers Local Burger,Tsachi H.,3.0,10/03/2019,Delicious 😋 Juicy and fresh,5.0
131,Brothers Local Burger,Ariel N.,4.0,06/02/2019,Amazing delicious food murder,5.0
132,Brothers Local Burger,Amit A.,3.0,06/12/2019,👍🏻,5.0
133,Brothers Local Burger,Generation S.,4.0,16/12/2018,excellent,5.0
134,Sun Ron,Alin A.,3.0,01/05/2022,Great food! The flavors are interesting to the palate. There is no doubt that something different has arrived in the landscape of Tel Aviv. I will not hesitate to return there again. The staff are kind and smiling,5.0
135,Sun Ron,Chen S.,121.0,05/05/2021,"Always fun to eat here! Comes excellent for lunch, delicious (their special S-L-T with kebab), V4M, stunning staff with service to interest. See that they do the work wholeheartedly💥",5.0
136,Sun Ron,Dana L.,1.0,23/12/2021,Excellent!,4.0
137,Sun Ron,granddaughter A.,88.0,30/11/2021,"Insanely delicious food, always fair in portions and price. Super cordial staff. Really really recommended",5.0
138,Sun Ron,Livne Y.,1.0,13/08/2019,"Worth! They give emphasis on the little details and lots of love in what they do. This is what makes the experience perfect, the flavors the place and the vibe of the company where everything wins. Highly recommend Birch",5.0
139,Sun Ron,Niro L.,2.0,29/11/2021,"Great food, amazing service, cool murder place. In short, an experience - sure to come back!",5.0
140,Sun Ron,Diana M.,2.0,25/09/2019,"Simple and delicious! The combination of on-site henan bread, fresh vegetables, tahini and yogurt with the tandoori meat makes the dish no less perfect. I'm already addicted",5.0
141,Sun Ron,amit s.,1.0,06/01/2022,Was excellent great food quantity and price really spun,5.0
142,Sun Ron,Ari and.,1.0,27/10/2021,Charming sent extra treats and a personal dedication. Happy surprise,5.0
143,Sun Ron,Shir P.,3.0,28/01/2020,"The best street food I have eaten in Tel Aviv dot. Sophisticated but simple food. A place you will want to return to every day. Just wow, highly recommend !!",5.0
144,Sun Ron,Elad A.,10.0,17/09/2019,"Very tasty, great service, and inexpensive. Excellent raw materials. Special and new flavors, I ate and enjoyed every bite. Inhale. I'll come more.",5.0
145,Sun Ron,Dana P.,15.0,18/12/2019,"Fresh nan bread and an excellent combination of yogurt, tahini and Indian-style seasoning. Not an exploding dish but totally value for money",5.0
146,Sun Ron,Yuval B.,97.0,26/07/2019,tasty!! A cute little place with a pleasant and smiling staff. Dishes are not very large but affordable and close the corner completely :),5.0
147,Sun Ron,Eden B.,4.0,22/08/2021,Lovely place with delicious food and great service,5.0
148,Sun Ron,count for.,15.0,02/06/2020,Very tasty and special food. Also served in a salad if desired. I loved and I am about to go back there!,5.0
149,Sun Ron,Ophir E.,74.0,29/07/2021,Delicious murder !!!! Excellent service😍,5.0
150,Sun Ron,Tamar R.,369.0,23/01/2020,"Delicious, satisfying, different and interesting flavors. Long waiting time at noon.",5.0
151,Sun Ron,Gal S.,10.0,05/10/2020,"Amazing experience, modern and delicious food! highly recommend",5.0
152,Sun Ron,eyal g.,5.0,12/07/2021,"Always fun,",5.0
153,Sun Ron,Amit P.,1.0,13/07/2019,"Amazing unique food, a fun and light place with a stunning atmosphere 🙏🙏🙏",5.0
154,Sun Ron,Natasha K.,1.0,12/09/2019,Incredible Food! Love the vegan dish.,5.0
155,Sun Ron,Tomer S.,83.0,21/11/2019,Great service and the dishes are great.,5.0
156,Sun Ron,Ronen Y.,6.0,01/08/2019,Great place great food great service,5.0
157,Sun Ron,Ran J.,1.0,31/07/2019,"Insanely delicious, sociable and pleasant staff",5.0
158,Sun Ron,Naomi M.,2.0,12/08/2019,Delicious at difficult levels !!,5.0
159,Sun Ron,Matan Sharon,,30/05/2021,Master of Nan: The Juicy Beats of the Most Indian Corner in Town,
160,Sun Ron,Adi Ezra,,24/06/2020,New and exciting street food inside Nan in Tel Aviv,
161,Sun Ron,Eran Laor,,27/04/2020,We were so excited about this stall on the street that we would happily accept it at home as well,
162,Sun Ron,Ayala Cohen,,12/08/2019,This is the most refreshing upgrade we have tasted for a chicken in pita,
163,OCD,yifat u.,3.0,21/05/2021,"Stunning We tried for two years to book a place, something always happened.",5.0
164,OCD,Ofek M.,2.0,15/12/2017,"Just exceptional! Amazing food. Service above and beyond in a special concept and everything is high quality and wonderful, so is the price, but worth every minute :) An amazing experience",5.0
165,OCD,It's.,2.0,28/10/2019,What a terrible name choice. There are people with OCD that every day in their lives is a challenge. This is not a likable neuroticism and squeezing popularity in a parallel Eli version. It's a nightmare.,2.0
166,OCD,Eli b.,2.0,27/09/2019,Not worth that much money,2.0
167,OCD,Ilana C.,5.0,06/05/2018,A new concept for me and makes the choice easier..because there is no choice. Each dish is a celebration in color. Just eat delicious.,5.0
168,OCD,Assaf M.,5.0,29/10/2018,The whole family came out disappointed,1.0
169,OCD,Chen H.,6.0,29/10/2018,A new concept that will disappear quickly,1.0
170,OCD,David Z.,28.0,29/10/2018,Come after shawarma,1.0
171,OCD,Zvi A.,14.0,03/11/2018,Too pompous,1.0
172,OCD,Lior G,12.0,04/11/2020,perfect,5.0
173,OCD,Nadav L.,16.0,14/07/2019,An expensive experience,5.0
174,OCD,Talchik T.,1.0,28/01/2018,Outstanding!,5.0
175,OCD,Poached egg,,07/04/2016,"In OCD aiming high, and they are probably on their way there",
176,Motpak,Nadav B.,52.0,01/04/2022,"The shawarma is very tasty, the price is fine, it's a shame the lafa is a bit small but not terrible, it's still one of the best places to eat in Tel Aviv. best places to eat in Tel Aviv",5.0
