Name,Phone,Address,Opening Hours,Type,Rating,Has Deliveries,Has Table Reservation,Has Menu,Has Sending A Massage,Facebook Url,Instagram Url,Home Page Url,Positive Reviews Count,Negative Reviews Count,Expert Reviews Count,Number Of Visits In Last Month,Number Of Reviews,Number Of Top 3,Has Discounts And Benefits,Postal Code
Soso & Sans,03-9552541,"Moshe Levy 10, Rishon Lezion","Sunday
  12: 00-01: 00
Monday
  12: 00-01: 00
Tuesday
  12: 00-01: 00
Wednesday
  12: 00-01: 00
Thursday
  12: 00-02: 00
Friday
  12: 00-02: 00
Saturday
  12: 00-01: 00",Hamburger chain,7.8,True,False,True,True,https://www.facebook.com/%D7%A1%D7%95%D7%A1%D7%95-%D7%A8%D7%90%D7%A9%D7%95%D7%9F-susu-rishon-139039646774737,https://www.instagram.com/Susu.rishon/,http://susu.co.il,34,14,1.0,1311,1,14,False,7565825
Brothers Local Burger,03-6351372,"The Founders 1, Kiryat Ono","Sunday
  11: 30-22: 00
Monday
  11: 30-22: 00
Tuesday
  11: 30-22: 00
Wednesday
  11: 30-22: 00
Thursday
  11: 30-22: 00
Friday
  11: 30-16: 30
Saturday
  11: 30-22: 00",Hamburgeria,9.9,True,False,True,True,https://www.facebook.com/90941532920,https://www.instagram.com,http://www.brotherslocalburger.co.il,59,14,0.0,892,1076,26,False,5552101
Sun Ron,052-3662285,"Yehuda Halevi 44, Tel Aviv-Yafo","Sunday
  11: 30-17: 00
Monday
  11: 30-17: 00
Tuesday
  11: 30-17: 00
Wednesday
  11: 30-17: 00
Thursday
  11: 30-17: 00
Friday
 closed
Saturday
 closed",Fast food restaurant,6.8,True,False,True,True,https://www.facebook.com/374152466536510,https://www.instagram.com/Saone.rhone/,http://saonerhone.co.il,24,0,4.0,1672,4,6,False,6610201
OCD,03-5566774,"Tirza 17, Tel Aviv-Yafo","Sunday
 closed
Monday
  18: 45-23: 45
Tuesday
  18: 45-23: 45
Wednesday
  19: 00-23: 45
Thursday
  18: 45-23: 45
Friday
  11: 45-23: 45
Saturday
 closed",Restaurant,9.7,True,True,True,True,https://www.facebook.com/976138579101327,https://www.instagram.com,http://ocdtlv.com,6,6,1.0,3626,1,0,False,6811559
Motpak,054-9072666,"110 Derech Shlomo, Tel Aviv-Yafo","Sunday
  10: 00-20: 00
Monday
  10: 00-20: 00
Tuesday
  10: 00-20: 00
Wednesday
  10: 00-20: 00
Thursday
  10: 00-20: 00
Friday
  10: 00-18: 00
Saturday
 closed",Shawarma,7.3,False,False,False,True,https://www.facebook.com/413877535735087,https://www.instagram.com,http://mutfak-turkish-restaurant.business.site,46,2,3.0,4915,3,26,False,6603227
Under the tree,03-6359033,"Ben Yehuda 202, Tel Aviv-Yafo","Sunday
  00: 00-00: 00
Monday
  00: 00-00: 00
Tuesday
  00: 00-00: 00
Wednesday
  00: 00-00: 00
Thursday
  00: 00-00: 00
Friday
 00: 00-00: 00
Saturday
 00: 00-00: 00",coffee shop,8.2,False,False,True,False,https://www.facebook.com/underthetree.tlv,https://www.instagram.com/underthetreetlv/,https://www.google.com,146,5,0.0,4133,4721,59,False,6347220
Balingera,03-5252527,"MLAN 4, Tel Aviv-Yafo","Sunday
  12: 00-21: 30
Monday
  12: 00-21: 30
Tuesday
  12: 00-21: 30
Wednesday
  12: 00-21: 30
Thursday
  12: 00-21: 30
Friday
  11: 00-16: 45
Saturday
 closed",Ethiopian restaurant,9.3,False,False,True,True,https://www.facebook.com/Traditional.Ethiopian.Cuisine,https://www.instagram.com,https://www.google.com,39,1,0.0,1331,2171,13,True,6560648
Rosemary Pizza,03-5400241,"Lincoln 19, Tel Aviv-Yafo","Sunday
  11: 30-23: 00
Monday
  11: 30-23: 00
Tuesday
  11: 30-23: 00
Wednesday
  11: 30-23: 00
Thursday
  11: 30-03: 00
Friday
 closed
Saturday
  20: 30-00: 30",Pizzeria,8.6,True,False,True,True,https://www.facebook.com/284559094987863,https://www.instagram.com/rosemary_rst/,http://pizzarozmarin.co.il,25,1,0.0,1307,187,19,True,6713411
Florence,03-6050061,"Abarbanel 56, Tel Aviv-Yafo","Sunday
  11: 00-23: 00
Monday
  11: 00-23: 00
Tuesday
  11: 00-23: 00
Wednesday
  11: 00-23: 00
Thursday
  11:00-until last customer
Friday
 closed
Saturday
  21: 00-until the last customer",Restaurant bar,9.3,True,True,False,True,https://www.facebook.com/FlorentinaRestaurantBar,https://www.instagram.com/florentina_restaurant_bar/,https://www.google.com,67,5,0.0,3080,2365,31,False,6608244
benz brothers,03-6123452,"Rabbi Yitzchak Yedidya Frenkel 4, Tel Aviv-Yafo","Sunday
  12: 00-23: 30
Monday
  12: 00-23: 30
Tuesday
  12: 00-23: 30
Wednesday
  12: 00-23: 30
Thursday
  12: 00-24: 00
Friday
  12: 00-18: 00
Saturday
  12: 00-24: 00",Hamburgeria,8.4,False,False,False,True,https://www.facebook.com/benz-argentinian-diner-125281837658737,https://www.instagram.com,https://www.google.com,74,1,8.0,2528,8,39,False,6608406
